Sample,Molecular Weight,Fluorescence
S2,10,231.99980101824175
S2,10.1,220.17334977030592
S2,10.199999999999999,209.62098026590076
S2,10.300000000000001,200.21254385843031
S2,10.4,191.73244051953105
S2,10.6,184.08340897808657
S2,10.699999999999999,177.28714065024434
S2,10.800000000000001,171.41282280222049
S2,10.9,166.43105280794063
S2,11.1,162.95138394661637
S2,11.199999999999999,161.93675545127957
S2,11.300000000000001,164.75330872168652
S2,11.4,172.45331355935232
S2,11.6,184.17920260971394
S2,11.699999999999999,196.31892351847367
S2,11.800000000000001,203.83785123807584
S2,12,201.4044994967347
S2,12.1,190.36245571745275
S2,12.199999999999999,174.54880326963442
S2,12.300000000000001,158.34359759889702
S2,12.5,144.94977728564112
S2,12.6,135.69693240747759
S2,12.800000000000001,130.32686841765604
S2,12.9,127.85900212596756
S2,13,127.30329622299985
S2,13.199999999999999,127.73583737424433
S2,13.300000000000001,128.62544747869296
S2,13.4,129.39735964680895
S2,13.6,129.38933199267856
S2,13.699999999999999,128.27052508802535
S2,13.9,126.68651643452179
S2,14,125.89871198471779
S2,14.1,127.31542085637163
S2,14.300000000000001,131.73969632606142
S2,14.4,139.09994587293912
S2,14.6,148.94585063624652
S2,14.699999999999999,161.16439288182357
S2,14.9,176.27885167441528
S2,15,196.14360675040376
S2,15.199999999999999,221.36212222753423
S2,15.300000000000001,252.13671125816464
S2,15.5,287.68720826383463
S2,15.6,325.32525733434852
S2,15.800000000000001,359.64856942426542
S2,15.9,382.59031308296517
S2,16.100000000000001,385.30068595926451
S2,16.199999999999999,361.85797645450322
S2,16.399999999999999,313.41658409403846
S2,16.600000000000001,250.41104088041135
S2,16.699999999999999,189.76735099496136
S2,16.899999999999999,142.16376611444193
S2,17,109.38383504245168
S2,17.199999999999999,88.974354192316824
S2,17.399999999999999,77.608789796746009
S2,17.5,72.141183946637682
S2,17.699999999999999,69.78339947751337
S2,17.800000000000001,68.592153457465812
S2,18,67.868345546226337
S2,18.199999999999999,67.301192685117215
S2,18.300000000000001,65.885122336159327
S2,18.5,62.99389005015118
S2,18.699999999999999,59.373597921409811
S2,18.800000000000001,56.173758582022529
S2,19,53.669616136976991
S2,19.199999999999999,51.552198136643703
S2,19.300000000000001,49.342296753010814
S2,19.5,46.728199955942088
S2,19.699999999999999,43.660652931136937
