Sample,Molecular Weight,Fluorescence
S1+Triton,10,-43.239508841117505
S1+Triton,10.1,-39.982988532359343
S1+Triton,10.199999999999999,-36.81586787585961
S1+Triton,10.300000000000001,-33.873256603714083
S1+Triton,10.4,-31.827236740704286
S1+Triton,10.6,-30.523144549363316
S1+Triton,10.699999999999999,-29.631363092611878
S1+Triton,10.800000000000001,-28.997180393312739
S1+Triton,10.9,-28.512385364396394
S1+Triton,11.1,-28.110395483160435
S1+Triton,11.199999999999999,-27.791773495971047
S1+Triton,11.300000000000001,-27.466210762092139
S1+Triton,11.4,-26.862700987258016
S1+Triton,11.6,-25.783770838111444
S1+Triton,11.699999999999999,-22.627484610218549
S1+Triton,11.800000000000001,-15.243191839781771
S1+Triton,12,-3.1202665599289876
S1+Triton,12.1,10.886909163504342
S1+Triton,12.199999999999999,21.587849337383489
S1+Triton,12.300000000000001,24.792433595920411
S1+Triton,12.5,19.805078076140859
S1+Triton,12.6,9.6932697442730813
S1+Triton,12.800000000000001,-0.78667409485323136
S1+Triton,12.9,-8.0020044449822656
S1+Triton,13,-11.107854354473314
S1+Triton,13.199999999999999,-11.484821616540451
S1+Triton,13.300000000000001,-10.145959867089367
S1+Triton,13.4,-7.8698097383471328
S1+Triton,13.6,-5.030067925351462
S1+Triton,13.699999999999999,-1.888759560748795
S1+Triton,13.9,1.2239330921602753
S1+Triton,14,3.8963969970175034
S1+Triton,14.1,5.4377705938067846
S1+Triton,14.300000000000001,4.975306931700592
S1+Triton,14.4,3.7805423723410283
S1+Triton,14.6,3.1792355403753669
S1+Triton,14.699999999999999,4.2754417835130472
S1+Triton,14.9,7.203593677758346
S1+Triton,15,11.696411674740556
S1+Triton,15.199999999999999,17.856257659496542
S1+Triton,15.300000000000001,26.383301751589681
S1+Triton,15.5,37.999598575565116
S1+Triton,15.6,52.92538423424859
S1+Triton,15.800000000000001,71.082250832697113
S1+Triton,15.9,93.34309001983911
S1+Triton,16.100000000000001,121.14958241291615
S1+Triton,16.199999999999999,152.35587219327306
S1+Triton,16.399999999999999,178.97407815926161
S1+Triton,16.600000000000001,189.52833774633416
S1+Triton,16.699999999999999,175.49870151525272
S1+Triton,16.899999999999999,138.31369802023966
S1+Triton,17,90.764660143768765
S1+Triton,17.199999999999999,51.391197262621183
S1+Triton,17.399999999999999,27.064844199784183
S1+Triton,17.5,14.294224204124394
S1+Triton,17.699999999999999,8.5659696321390886
S1+Triton,17.800000000000001,6.4115470185688501
S1+Triton,18,5.6164473367481875
S1+Triton,18.199999999999999,5.1829236922098305
S1+Triton,18.300000000000001,4.9847417265466669
S1+Triton,18.5,4.7593498701434367
S1+Triton,18.699999999999999,4.8247331452180928
S1+Triton,18.800000000000001,4.949717605949207
S1+Triton,19,4.689031235449086
S1+Triton,19.199999999999999,4.2574309305203144
S1+Triton,19.300000000000001,4.1802225734569038
S1+Triton,19.5,4.8367963386050254
S1+Triton,19.699999999999999,6.1064720443835725
S1+Triton,19.899999999999999,7.3328005349632797
S1+Triton,20,7.7023093456911695
S1+Triton,20.199999999999999,6.9711012191416657
S1+Triton,20.399999999999999,5.6397737218698403
S1+Triton,20.600000000000001,3.9488247400766356
S1+Triton,20.699999999999999,1.9345606967376872
S1+Triton,20.899999999999999,-0.16695435996602925
S1+Triton,21.100000000000001,-1.9675257876655765
S1+Triton,21.300000000000001,-2.9511100400818502
S1+Triton,21.5,-2.9881480974123815
S1+Triton,21.600000000000001,-2.3755064157595136
S1+Triton,21.800000000000001,-1.514017073848791
S1+Triton,22,-0.85894339922755036
S1+Triton,22.199999999999999,-1.0121812492662277
S1+Triton,22.399999999999999,-1.9299930239375354
S1+Triton,22.600000000000001,-2.9009475932984476
S1+Triton,22.800000000000001,-2.8124047469509255
S1+Triton,22.899999999999999,-1.5289613221763434
S1+Triton,23.100000000000001,-0.019915699130302222
S1+Triton,23.300000000000001,0.84385279449140449
S1+Triton,23.5,0.95820870360522348
S1+Triton,23.699999999999999,0.6549331228872427
S1+Triton,23.899999999999999,0.36171190898633943
S1+Triton,24.100000000000001,0.17336873898713762
S1+Triton,24.300000000000001,-0.20520698720896793
S1+Triton,24.5,-0.84051514512821801
S1+Triton,24.699999999999999,-1.4281475690806968
S1+Triton,24.899999999999999,-1.543467813798844
S1+Triton,25.100000000000001,-1.2459984330228204
S1+Triton,25.300000000000001,-1.0872270507627753
S1+Triton,25.5,-0.99430533415646871
S1+Triton,25.699999999999999,-0.5398925928794045
S1+Triton,25.899999999999999,0.91975775889178157
S1+Triton,26.100000000000001,3.6838105571720008
S1+Triton,26.300000000000001,7.6095844623828341
S1+Triton,26.5,12.335852915529548
S1+Triton,26.699999999999999,17.459123549762126
S1+Triton,26.899999999999999,22.594321324128046
S1+Triton,27.100000000000001,27.185054044784703
S1+Triton,27.300000000000001,30.841289880706157
