x,group,y
10,Periimplantitis,28.40119614
10,Periimplantitis,-24.96524179
10,Periimplantitis,12.84587758
10.1,Healthy,82.57662435
10.1,Healthy,15.97155164
10.1,Healthy,77.11313312
10.1,Healthy,3.781021306
10.1,Healthy,0.394624622
10.1,Healthy,3.478955318
10.1,Healthy,4.764811854
10.1,Healthy,-0.221265277
10.1,Healthy,-5.290520085
10.1,Healthy,43.40395263
10.1,Gingivitis,11.52268154
10.1,Gingivitis,41.56377674
10.1,Gingivitis,5.62700224
10.1,Gingivitis,34.40513745
10.1,Gingivitis,17.44762518
10.1,Gingivitis,98.40364043
10.1,Gingivitis,19.18185297
10.1,Gingivitis,17.27307987
10.1,Gingivitis,61.33113103
10.1,Gingivitis,72.86476138
10.1,Mucositis,-9.05818208
10.1,Mucositis,-20.27550954
10.1,Mucositis,-35.37161498
10.1,Mucositis,1.276785667
10.1,Mucositis,22.22956299
10.1,Mucositis,-6.268226404
10.1,Mucositis,45.26363169
10.1,Mucositis,22.15027312
10.1,Mucositis,35.33027808
10.1,Mucositis,-14.86553898
10.1,Mucositis,0.179844422
10.1,Mucositis,-8.65724501
10.1,Mucositis,-2.538128084
10.1,Mucositis,39.60483028
10.1,Mucositis,-10.90170973
10.1,Periimplantitis,-29.58142766
10.1,Periimplantitis,-16.41643306
10.1,Periimplantitis,-0.768648699
10.1,Periimplantitis,-4.272274175
10.1,Periimplantitis,-4.91286764
10.1,Periimplantitis,23.53966283
10.1,Periimplantitis,12.57631264
10.1,Periimplantitis,35.85189729
10.1,Periimplantitis,10.23562968
10.1,Periimplantitis,0.515819241
10.1,Periimplantitis,4.626181809
10.1,Periimplantitis,27.43630775
10.1,Periimplantitis,-23.39373615
10.1,Periimplantitis,23.19424665
10.2,Healthy,17.55825635
10.2,Healthy,26.56048448
10.2,Healthy,89.72608839
10.2,Healthy,7.627352616
10.2,Healthy,6.890305205
10.2,Healthy,13.19799213
10.2,Healthy,5.264821361
10.2,Healthy,1.82247441
10.2,Healthy,0.135127359
10.2,Healthy,23.75136461
10.2,Gingivitis,17.14031641
10.2,Gingivitis,38.25549398
10.2,Gingivitis,-0.808715409
10.2,Gingivitis,33.31980539
10.2,Gingivitis,17.41804879
10.2,Gingivitis,107.3848424
10.2,Gingivitis,17.00691183
10.2,Gingivitis,16.08596867
10.2,Gingivitis,60.0892798
10.2,Gingivitis,84.42361732
10.2,Mucositis,-7.451977524
10.2,Mucositis,-20.9744291
10.2,Mucositis,-33.00946049
10.2,Mucositis,-2.841220496
10.2,Mucositis,15.74941622
10.2,Mucositis,-7.155796829
10.2,Mucositis,49.80414881
10.2,Mucositis,22.32017461
10.2,Mucositis,28.98135868
10.2,Mucositis,-14.42466016
10.2,Mucositis,-1.948184497
10.2,Mucositis,-7.749294184
10.2,Mucositis,0.25706719
