0,D1406,D1261
9.0,-62.244671949360296,-10.410633919288994
9.1,-52.45701436797275,-5.997570789724782
9.2,-42.210655493146895,-0.6895248967696874
9.3,-32.20487107980482,3.752646437191936
9.4,-23.491502790540967,8.068267942599276
9.5,-16.696637916857533,12.55235962681301
9.6,-12.193077086510279,16.899361702470358
9.7,-9.9948389713179,20.84631540343096
9.9,-9.813815758241626,24.14866553298868
10.0,-11.251396987179856,26.44353311065289
10.1,-13.852020610735867,27.633042814115427
10.2,-17.066632487928704,27.765567435807533
10.3,-20.33081212325756,26.871259501609444
10.4,-23.076741925636053,25.02542742830536
10.6,-24.8142939176338,22.216620601909128
10.7,-25.532496148475214,18.72418830975488
10.8,-25.31195742232308,15.198367611799233
10.9,-24.49424408931652,12.102157304363573
11.1,-23.45707426166329,9.55475667196402
11.2,-22.375130584730297,7.536361107681802
11.3,-21.279519673155765,5.937123645675915
11.4,-20.038803532659585,4.634319134906232
11.6,-18.49614090346515,3.5441017438278606
11.7,-16.717348305998545,2.6514938141177447
11.8,-14.977150583298235,1.9964759141947963
12.0,-13.596956497108689,1.6277096566293017
12.1,-12.746919381010887,1.5191090025993104
12.2,-12.174240791098507,1.4614861741182152
12.3,-11.259375939431285,1.3555150811803192
12.5,-9.785309720715551,1.1049466722970556
12.6,-7.757611690715081,1.0111052407943348
12.8,-5.369197419302476,1.7790116324954994
12.9,-2.952512399625849,3.4551068630151893
13.0,-0.9118060188996528,5.370331763851147
13.2,0.23598808275693456,6.765884268739189
13.3,0.15665879270480507,7.344888346900776
13.4,-0.8785027848421358,7.265497959455944
13.6,-1.982259507010424,6.823262435373967
13.7,-1.9906572845318748,6.073175631678947
13.9,-0.1986355878756077,5.144131518513339
14.0,2.989500213421113,4.454787728560998
14.1,6.209315819013358,4.4024995517303545
14.3,8.730204191177737,5.116023371075208
14.4,11.275552985808625,6.487691211080617
14.6,15.576082001514015,8.412945717040214
14.7,23.639572521535516,10.842535680381117
14.9,37.65231364988666,14.04554378787249
15.0,60.345013412061775,18.655835002483773
15.2,93.99726827488504,25.223115055856475
15.3,137.3234701989293,34.24221613428378
15.5,182.20022609649482,46.4771714793519
15.6,214.04581235069458,62.548303392348
15.8,218.21987468529386,81.73195311303493
15.9,189.16664872280444,100.82217799173405
16.1,138.99298717318294,114.2292965015628
16.2,87.61913847558351,116.34076156023016
16.4,47.764467985897035,105.08141108148392
16.6,22.781768972866193,83.78318015748337
16.7,9.609955402976478,59.4988305820608
16.9,3.463239966758964,38.91893400605887
17.0,0.7240418265655949,25.007594981955414
17.2,-0.4672568560617562,16.798878088104654
17.4,-0.956275826700278,11.831379348491788
17.5,-1.3280529557154348,8.55735908168799
17.7,-1.9726173660415165,6.329730001724683
17.8,-3.083299609992652,4.868417954715059
18.0,-4.379961470943596,4.145897751134764
18.2,-5.316251538070665,4.008458903741691
18.3,-5.830703521169347,4.071611527064937
18.5,-6.106768685543796,3.9913572697712736
18.7,-6.2505357830244925,3.6469597808981806
18.8,-6.315756703310512,3.143340050472229
19.0,-6.350005070637952,2.6553377919297727
19.2,-6.506899798471785,2.146885640630008
19.3,-6.89104246548984,1.4780350032803542
19.5,-7.47410526906411,0.7717906889585587
19.7,-8.170761686768227,0.19385937442588475
19.9,-8.814009957286084,-0.21251265728831656
20.0,-9.374426806748584,-0.5625034800948784
20.2,-9.917819768179305,-0.8862866284704901
20.4,-10.26976247467824,-1.26360291917523
20.6,-10.446411800084828,-1.6475484098663662
20.7,-10.253159045880464,-2.1195196804995904
20.9,-9.756989531336025,-2.5222220320260287
21.1,-9.27814993195228,-2.8833442262426874
21.3,-9.137599512399815,-3.1176333235070914
21.5,-9.255763296662293,-3.2272534308589407
21.6,-9.02340981839548,-3.1899274781309965
21.8,-7.8714693785005725,-3.076644060362869
22.0,-5.848558673179929,-2.970920865648924
22.2,-3.655222644801875,-2.9032367687399354
22.4,-2.213840922177957,-2.8216623749211007
22.6,-2.038666405590095,-2.5573906769867567
22.8,-2.875481062831996,-1.974455427551565
22.9,-3.9364097787577585,-1.1643264372869864
23.1,-4.563890043440237,-0.4278979863437548
23.3,-4.675958296182588,-0.07475076963393659
23.5,-4.53244487764212,-0.1943740011670413
23.7,-4.245132324137264,-0.6094397416251925
23.9,-3.6642920743669256,-1.048200516671332
24.1,-2.710044285646818,-1.3315479894339544
24.3,-1.5250303866763082,-1.4367887670765358
24.5,-0.4375679976447459,-1.3984496839980831
24.7,0.27431387984867583,-1.1664277813715285
24.9,0.6430988149904284,-0.6904035180687964
25.1,1.2598600647031533,-0.030853679608453644
25.3,2.7319952850252456,0.7628275265506067
25.5,5.33393929793613,1.7526907130473763
25.7,8.756373611063474,3.078023148712531
25.9,12.737128222910295,4.8479850018328206
26.1,16.928908999670096,6.863368548244855
26.3,20.988325743190167,9.008434022187341
26.5,24.500146970543103,11.35006621544148
26.7,27.196069381400395,13.898706011598776
26.9,28.979467393368374,16.368870108819433
27.1,29.859559438611434,18.46321130383042
27.3,29.907622728006586,20.0618627808174
27.5,29.16118995008869,21.32901679853328
27.7,27.661903530819878,22.447814414317747
27.9,25.35168784869363,23.392357160591093
28.1,22.35658053130847,24.091510279365195
28.3,19.147574071551766,24.65347415350319
28.5,16.365010470518783,25.30970830023353
28.8,14.316902799150515,26.04042738115035
29.0,12.875831642674461,26.49301382279288
29.2,11.746062508369999,26.267482490364934
29.4,10.640835832207994,25.31164982167821
29.6,9.486756070075533,23.903375251573447
29.8,8.368467386251261,22.323442464850196
30.1,7.327831621675853,20.658880617287604
30.3,6.321249993488179,18.90802797449308
30.5,5.354391373268975,17.004306657232302
30.7,4.527215518518876,14.814851224629516
30.9,3.9856171823068887,12.281287557010556
31.2,3.837889435954584,9.559702900173592
31.4,4.043068164206444,6.949477477278066
31.6,4.548081175113512,4.692024982680014
31.8,5.433882590162139,2.9377208714665937
32.0,6.5785272007061195,1.819276688476791
32.3,7.865154976992355,1.3087827634983578
32.5,9.195111833628431,1.2307914107363946
32.7,10.193914002573306,1.4330624443125706
33.0,10.95014960905765,1.8219353943717858
33.2,11.525215979016528,2.3925661406719265
33.4,11.890467111855312,3.1676302100435465
33.6,12.085021181190648,4.02451462110592
33.9,11.996581385899384,4.781676151801171
34.1,11.568539663926256,5.297393799857892
34.3,10.836945881858194,5.433494532124893
34.6,9.819466032726163,5.24551876624193
34.8,8.616296312642833,4.8910879727243675
35.0,7.49830560711808,4.5830940575831285
35.3,6.773537953946479,4.437592800826544
35.5,6.744213095426296,4.377456271512069
35.8,7.501221927854513,4.203979954316688
36.0,8.70676061870878,3.8385574241028295
36.2,9.430760936949822,3.2617925408295125
36.5,8.963754850689162,2.721758731938949
36.7,7.697367097034086,2.3389384479601287
37.0,6.4386382831630655,2.1199173552654185
37.2,5.761388400849604,1.9830536284195883
37.4,5.841384247786038,1.7256996803787767
37.7,6.601066149152263,1.2000372717699066
37.9,7.898325648356027,0.4272136924684661
38.2,9.631246964821075,-0.4440821730243478
38.4,11.76950179050427,-1.2654954444924873
38.7,14.441261959608571,-1.95526920955298
