Presence/Absence,p_10,p_13,p_15,p_16,p_23,p_27,p_28,p_29,p_30,p_33,p_35,p_37,p_38,p_43,p_44,p_45,p_46,p_47,p_48,p_60,p_61,p_62,p_63,p_68,p_69,p_70,p_71,p_72,p_76,p_77,p_78
Absense,63,64,60,7,65,59,44,53,63,53,63,61,65,62,47,47,53,59,65,65,28,42,63,59,39,46,55,65,57,59,62
Presence,3,2,6,59,1,7,22,13,3,13,3,5,1,4,19,19,13,7,1,1,38,24,3,7,27,20,11,1,9,7,4
