"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"45","Protein_concentration","Periodontitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.690308124952523,0.49000043946963,1,"ns"
"46","Volume","Healthy","Gingivitis",17,4,1.30855662759602,0.190684580873211,1,"ns"
"47","Volume","Healthy","Mucositis",17,20,0.313679904628775,0.753764164776193,1,"ns"
"48","Volume","Healthy","Peri-implantitis",17,6,0.186463127708708,0.852081591567643,1,"ns"
"49","Volume","Healthy","Gingivitis and Mucositis",17,9,1.87049395137527,0.0614152561719824,1,"ns"
"50","Volume","Healthy","Gingivitis and Peri-implantitis",17,2,-0.801596252440445,0.422786546124071,1,"ns"
"51","Volume","Healthy","Mucositis and Periodontitis",17,4,0.608413310398722,0.542913385721564,1,"ns"
"52","Volume","Healthy","Mucositis and Peri-implantitis",17,6,-0.310122747651296,0.756467614348108,1,"ns"
"53","Volume","Healthy","Periodontitis and Peri-implantitis",17,4,-0.134162935113564,0.89327373437749,1,"ns"
"54","Volume","Healthy","Gingivitis, Mucositis and Peri-implantitis",17,1,1.59471186709342,0.110776683081676,1,"ns"
"55","Volume","Gingivitis","Mucositis",4,20,-1.13873650612109,0.254813071505279,1,"ns"
"56","Volume","Gingivitis","Peri-implantitis",4,6,-0.989386386674639,0.322474132471088,1,"ns"
"57","Volume","Gingivitis","Gingivitis and Mucositis",4,9,0.0730314747905835,0.941781071116684,1,"ns"
"58","Volume","Gingivitis","Gingivitis and Peri-implantitis",4,2,-1.53161668842742,0.125617051874071,1,"ns"
"59","Volume","Gingivitis","Mucositis and Periodontitis",4,4,-0.550246307332847,0.582150445848405,1,"ns"
"60","Volume","Gingivitis","Mucositis and Peri-implantitis",4,6,-1.35469828329297,0.17551370506764,1,"ns"
"61","Volume","Gingivitis","Periodontitis and Peri-implantitis",4,4,-1.13384087571617,0.25686130148718,1,"ns"
"62","Volume","Gingivitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.817287572171713,0.413764107261814,1,"ns"
"63","Volume","Mucositis","Peri-implantitis",20,6,-0.0320844419501192,0.974404710548535,1,"ns"
"64","Volume","Mucositis","Gingivitis and Mucositis",20,9,1.66323020162035,0.0962663642825336,1,"ns"
"65","Volume","Mucositis","Gingivitis and Peri-implantitis",20,2,-0.947530315975127,0.343368615790028,1,"ns"
"66","Volume","Mucositis","Mucositis and Periodontitis",20,4,0.428371577917007,0.668380614008066,1,"ns"
"67","Volume","Mucositis","Mucositis and Peri-implantitis",20,6,-0.538680893794113,0.590107059374242,1,"ns"
"68","Volume","Mucositis","Periodontitis and Peri-implantitis",20,4,-0.325045770178231,0.74514643126478,1,"ns"
"69","Volume","Mucositis","Gingivitis, Mucositis and Peri-implantitis",20,1,1.50041411425091,0.133507165686243,1,"ns"
"70","Volume","Peri-implantitis","Gingivitis and Mucositis",6,9,1.29501459571939,0.195315194475179,1,"ns"
"71","Volume","Peri-implantitis","Gingivitis and Peri-implantitis",6,2,-0.842346202884287,0.399594196247336,1,"ns"
"72","Volume","Peri-implantitis","Mucositis and Periodontitis",6,4,0.386621757254397,0.699036248243333,1,"ns"
"73","Volume","Peri-implantitis","Mucositis and Peri-implantitis",6,6,-0.408431116913979,0.682957192390226,1,"ns"
"74","Volume","Peri-implantitis","Periodontitis and Peri-implantitis",6,4,-0.252674061827677,0.800520093269081,1,"ns"
"75","Volume","Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,1.4372444659711,0.150648542328121,1,"ns"
"76","Volume","Gingivitis and Mucositis","Gingivitis and Peri-implantitis",9,2,-1.75290057732958,0.0796190745021538,1,"ns"
"77","Volume","Gingivitis and Mucositis","Mucositis and Periodontitis",9,4,-0.720504549799636,0.471214399407563,1,"ns"
"78","Volume","Gingivitis and Mucositis","Mucositis and Peri-implantitis",9,6,-1.74242846756102,0.0814334982144952,1,"ns"
"79","Volume","Gingivitis and Mucositis","Periodontitis and Peri-implantitis",9,4,-1.40721841723348,0.159362632045153,1,"ns"
"80","Volume","Gingivitis and Mucositis","Gingivitis, Mucositis and Peri-implantitis",9,1,0.825230030285676,0.409241007277979,1,"ns"
"81","Volume","Gingivitis and Peri-implantitis","Mucositis and Periodontitis",2,4,1.08234245982204,0.279100385731676,1,"ns"
"82","Volume","Gingivitis and Peri-implantitis","Mucositis and Peri-implantitis",2,6,0.553541790466817,0.579892472650836,1,"ns"
"83","Volume","Gingivitis and Peri-implantitis","Periodontitis and Peri-implantitis",2,4,0.605839490089068,0.544621343776571,1,"ns"
"84","Volume","Gingivitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",2,1,1.82909461197731,0.0673854359966247,1,"ns"
"85","Volume","Mucositis and Periodontitis","Mucositis and Peri-implantitis",4,6,-0.751933653872726,0.452090958415339,1,"ns"
"86","Volume","Mucositis and Periodontitis","Periodontitis and Peri-implantitis",4,4,-0.583594568383323,0.559493115394753,1,"ns"
"87","Volume","Mucositis and Periodontitis","Gingivitis, Mucositis and Peri-implantitis",4,1,1.16529389322547,0.243900050185494,1,"ns"
"88","Volume","Mucositis and Peri-implantitis","Periodontitis and Peri-implantitis",6,4,0.112637834790651,0.910317688085814,1,"ns"
"89","Volume","Mucositis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,1.65556008105531,0.0978109398556159,1,"ns"
"90","Volume","Periodontitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",4,1,1.53439150646431,0.124933365872057,1,"ns"
"91","Flux","Healthy","Gingivitis",17,4,1.30855662759602,0.190684580873211,1,"ns"
"92","Flux","Healthy","Mucositis",17,20,0.313679904628775,0.753764164776193,1,"ns"
"93","Flux","Healthy","Peri-implantitis",17,6,0.186463127708708,0.852081591567643,1,"ns"
"94","Flux","Healthy","Gingivitis and Mucositis",17,9,1.87049395137527,0.0614152561719824,1,"ns"
"95","Flux","Healthy","Gingivitis and Peri-implantitis",17,2,-0.801596252440445,0.422786546124071,1,"ns"
"96","Flux","Healthy","Mucositis and Periodontitis",17,4,0.608413310398722,0.542913385721564,1,"ns"
"97","Flux","Healthy","Mucositis and Peri-implantitis",17,6,-0.310122747651296,0.756467614348108,1,"ns"
"98","Flux","Healthy","Periodontitis and Peri-implantitis",17,4,-0.134162935113564,0.89327373437749,1,"ns"
"99","Flux","Healthy","Gingivitis, Mucositis and Peri-implantitis",17,1,1.59471186709342,0.110776683081676,1,"ns"
"100","Flux","Gingivitis","Mucositis",4,20,-1.13873650612109,0.254813071505279,1,"ns"
"101","Flux","Gingivitis","Peri-implantitis",4,6,-0.989386386674639,0.322474132471088,1,"ns"
"102","Flux","Gingivitis","Gingivitis and Mucositis",4,9,0.0730314747905835,0.941781071116684,1,"ns"
"103","Flux","Gingivitis","Gingivitis and Peri-implantitis",4,2,-1.53161668842742,0.125617051874071,1,"ns"
"104","Flux","Gingivitis","Mucositis and Periodontitis",4,4,-0.550246307332847,0.582150445848405,1,"ns"
"105","Flux","Gingivitis","Mucositis and Peri-implantitis",4,6,-1.35469828329297,0.17551370506764,1,"ns"
"106","Flux","Gingivitis","Periodontitis and Peri-implantitis",4,4,-1.13384087571617,0.25686130148718,1,"ns"
"107","Flux","Gingivitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.817287572171713,0.413764107261814,1,"ns"
"108","Flux","Mucositis","Peri-implantitis",20,6,-0.0320844419501192,0.974404710548535,1,"ns"
"109","Flux","Mucositis","Gingivitis and Mucositis",20,9,1.66323020162035,0.0962663642825336,1,"ns"
"110","Flux","Mucositis","Gingivitis and Peri-implantitis",20,2,-0.947530315975127,0.343368615790028,1,"ns"
"111","Flux","Mucositis","Mucositis and Periodontitis",20,4,0.428371577917007,0.668380614008066,1,"ns"
"112","Flux","Mucositis","Mucositis and Peri-implantitis",20,6,-0.538680893794113,0.590107059374242,1,"ns"
"113","Flux","Mucositis","Periodontitis and Peri-implantitis",20,4,-0.325045770178231,0.74514643126478,1,"ns"
"114","Flux","Mucositis","Gingivitis, Mucositis and Peri-implantitis",20,1,1.50041411425091,0.133507165686243,1,"ns"
"115","Flux","Peri-implantitis","Gingivitis and Mucositis",6,9,1.29501459571939,0.195315194475179,1,"ns"
"116","Flux","Peri-implantitis","Gingivitis and Peri-implantitis",6,2,-0.842346202884287,0.399594196247336,1,"ns"
"117","Flux","Peri-implantitis","Mucositis and Periodontitis",6,4,0.386621757254397,0.699036248243333,1,"ns"
"118","Flux","Peri-implantitis","Mucositis and Peri-implantitis",6,6,-0.408431116913979,0.682957192390226,1,"ns"
"119","Flux","Peri-implantitis","Periodontitis and Peri-implantitis",6,4,-0.252674061827677,0.800520093269081,1,"ns"
"120","Flux","Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,1.4372444659711,0.150648542328121,1,"ns"
"121","Flux","Gingivitis and Mucositis","Gingivitis and Peri-implantitis",9,2,-1.75290057732958,0.0796190745021538,1,"ns"
"122","Flux","Gingivitis and Mucositis","Mucositis and Periodontitis",9,4,-0.720504549799636,0.471214399407563,1,"ns"
"123","Flux","Gingivitis and Mucositis","Mucositis and Peri-implantitis",9,6,-1.74242846756102,0.0814334982144952,1,"ns"
"124","Flux","Gingivitis and Mucositis","Periodontitis and Peri-implantitis",9,4,-1.40721841723348,0.159362632045153,1,"ns"
"125","Flux","Gingivitis and Mucositis","Gingivitis, Mucositis and Peri-implantitis",9,1,0.825230030285676,0.409241007277979,1,"ns"
"126","Flux","Gingivitis and Peri-implantitis","Mucositis and Periodontitis",2,4,1.08234245982204,0.279100385731676,1,"ns"
"127","Flux","Gingivitis and Peri-implantitis","Mucositis and Peri-implantitis",2,6,0.553541790466817,0.579892472650836,1,"ns"
"128","Flux","Gingivitis and Peri-implantitis","Periodontitis and Peri-implantitis",2,4,0.605839490089068,0.544621343776571,1,"ns"
"129","Flux","Gingivitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",2,1,1.82909461197731,0.0673854359966247,1,"ns"
"130","Flux","Mucositis and Periodontitis","Mucositis and Peri-implantitis",4,6,-0.751933653872726,0.452090958415339,1,"ns"
"131","Flux","Mucositis and Periodontitis","Periodontitis and Peri-implantitis",4,4,-0.583594568383323,0.559493115394753,1,"ns"
"132","Flux","Mucositis and Periodontitis","Gingivitis, Mucositis and Peri-implantitis",4,1,1.16529389322547,0.243900050185494,1,"ns"
"133","Flux","Mucositis and Peri-implantitis","Periodontitis and Peri-implantitis",6,4,0.112637834790651,0.910317688085814,1,"ns"
"134","Flux","Mucositis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,1.65556008105531,0.0978109398556159,1,"ns"
"135","Flux","Periodontitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",4,1,1.53439150646431,0.124933365872057,1,"ns"
"136","pH","Healthy","Gingivitis",17,4,1.58600953949722,0.112737145590213,1,"ns"
"137","pH","Healthy","Mucositis",17,20,0.535615397892024,0.592224384703317,1,"ns"
"138","pH","Healthy","Peri-implantitis",17,6,0.445712699571041,0.655804789883877,1,"ns"
